year,month,tmean_c,tmin_c,tmax_c,p_mm,rh_mean_pct
2018,3,7.90745564516129,4.022322580645161,14.454161290322581,159.2,85.62258064516129
2018,4,7.566113888888889,3.165133333333334,13.893366666666667,57.6,78.82777777777778
2018,5,7.604467741935483,2.3763870967741934,14.96932258064516,41.2,78.44650537634409
2018,6,6.528452777777778,0.060633333333333345,14.294933333333335,5.8,66.7475
2018,7,6.59334811827957,-0.7076451612903226,15.080870967741935,0.0,61.196639784946235
2018,8,7.412018049932524,1.3404615384615384,14.562000000000001,5.6,61.395850202429145
2018,9,,,,17.0,
2018,10,,,,80.6,
2018,11,,,,126.4,
2018,12,,,,47.2,
2019,1,,,,130.4,
2019,2,,,,135.4,
2019,3,,,,144.4,
2019,4,,,,77.60000000000001,
2019,5,,,,19.4,
2019,6,,,,4.8,
2019,7,6.447929824561403,-0.022315789473684206,14.00357894736842,1.2000000000000002,65.14188596491229
2019,8,7.743413978494623,0.03222580645161287,15.664483870967741,3.8009999999999997,47.456720430107524
2019,9,8.129356944444444,1.1415,15.762266666666667,1.0,63.42388888888889
2019,10,7.8433938172043005,2.690903225806452,15.056903225806453,2.6,75.0516129032258
2019,11,8.013168055555555,3.5348333333333333,15.239833333333333,4.0,82.19291666666666
2019,12,7.513393817204301,4.141935483870968,13.633806451612903,9.200000000000001,89.97634408602151
2020,1,8.4425,3.9735161290322583,15.071387096774192,2.6,80.75282258064516
2020,2,8.71903591954023,4.731758620689655,15.289068965517242,6.0,85.26824712643678
2020,3,7.974292714006424,3.9866129032258066,14.776483870967743,90.608,86.49289379974864
2020,4,8.455031944444444,3.3216666666666668,15.837066666666667,30.201,78.5461111111111
2020,5,8.12409811827957,2.679193548387097,15.67725806451613,42.403,77.4771505376344
2020,6,7.310363888888888,0.4822666666666667,16.2519,0.4,66.03555555555555
2020,7,6.859557795698924,-0.4074838709677419,16.081451612903226,11.4,60.97056451612904
2020,8,7.34280376344086,-0.654,17.181806451612903,4.8,54.675134408602155
2020,9,7.745352777777778,1.4150333333333334,16.1895,39.006,68.37583333333333
2020,10,8.551219086021504,2.8603870967741933,15.951322580645162,40.404,66.16290322580646
2020,11,8.102355555555556,2.0814666666666666,16.387766666666668,64.001,68.82305555555556
2020,12,7.069919354838709,3.202064516129032,13.93109677419355,204.012,89.3008064516129
2021,1,6.994932795698925,3.182709677419355,13.796483870967743,213.40800000000002,89.82715053763441
2021,2,7.926040178571428,2.9574642857142854,15.271178571428573,66.807,78.51458333333333
2021,3,7.078891129032258,2.9461612903225807,14.081548387096776,173.218,87.19583333333333
2021,4,8.050720833333333,3.1311999999999998,15.619233333333334,81.006,82.95305555555555
2021,5,7.596877688172043,1.8573225806451612,15.451677419354839,29.8,79.40591397849462
2021,6,7.102743055555555,1.0204666666666666,15.567933333333334,16.8,76.16027777777778
2021,7,6.883130376344086,-0.18593548387096775,16.22209677419355,0.4,61.84032258064516
2021,8,7.310770161290322,-0.09154838709677421,16.652806451612904,9.600000000000001,64.67943548387096
2021,9,8.137611331569666,2.132888888888889,15.65862962962963,19.200000000000003,67.4509479717813
2021,10,8.179579301075268,3.0098709677419353,16.239612903225808,101.207,79.85591397849463
2021,11,7.2201208333333335,3.2651666666666666,14.389299999999999,131.41,86.53652777777778
2021,12,7.90729435483871,3.383709677419355,15.407451612903227,141.809,82.12728494623656
2022,1,7.619997311827957,2.952129032258065,14.853709677419356,77.00399999999999,83.58508064516128
2022,2,7.355269345238095,3.650714285714286,14.04857142857143,154.202,88.03556547619048
2022,3,7.098974462365591,3.2962903225806452,13.776032258064516,235.815,90.55833333333334
2022,4,8.189991666666666,2.957,15.317566666666666,60.602000000000004,79.96638888888889
2022,5,7.451575853202431,1.584,15.47458064516129,35.802,79.82834151472652
2022,6,6.6436375,0.4422333333333333,15.126166666666666,9.8,70.28666666666666
2022,7,7.435940860215054,-0.11383870967741935,16.02332258064516,4.0,56.756048387096776
2022,8,7.344397849462365,-0.3615806451612903,16.922064516129034,8.4,64.1654569892473
2022,9,7.502676388888889,0.9812666666666666,17.3884,89.61,72.44916666666667
2022,10,8.041284946236559,2.081451612903226,16.855870967741936,38.0,73.68360215053764
2022,11,7.790076388888889,1.2710333333333332,16.8553,50.003,71.15402777777778
2022,12,6.947004032258064,2.0227096774193547,15.20074193548387,109.009,81.39758064516128
2023,1,6.850197580645161,3.054967741935484,13.339967741935483,151.614,87.91720430107527
2023,2,8.164171130952381,4.019928571428571,15.610892857142858,136.413,85.88497023809524
