date,delta_temp_c_mean,delta_rh_pct_mean,delta_dewpoint_c_mean,n_obs_day_high,n_obs_day_low
2008-10-12,-5.166666666999999,4.783333330000005,-3.4375,24,24
2008-10-13,-5.395833334000001,7.658333329999991,-3.258333334,24,24
2008-10-14,-7.191287878000001,18.69772727,-3.463257576,22,24
2008-10-15,-5.940217391,11.09202898000001,-3.4021739130000004,23,24
2008-10-16,-6.778409091,14.329166669999992,-4.067803031,22,24
2008-10-17,-7.344202898000001,21.228985500000007,-2.74039855,23,24
2008-10-18,-4.604166667,5.639285709999996,-3.7047619050000002,21,24
2008-10-19,-5.409090909,10.031060600000004,-3.057196969,22,24
2008-10-20,-5.958333333999999,11.11666667,-3.1125,24,24
2008-10-21,-5.25,6.545833330000008,-2.9125,24,24
2008-10-22,-5.241666667,13.019166670000004,-2.3641666669999997,20,24
2008-10-23,-5.508928571999999,9.094047619999998,-3.6101190470000004,21,24
2008-10-24,-6.083333333000001,12.10166667,-3.705833333,20,24
2008-10-25,-6.032738095999999,11.697619040000006,-3.5416666669999994,21,24
2008-10-26,-4.8041666670000005,7.06750000000001,-3.541666667,20,24
2009-02-03,-7.145833333000001,13.958333330000002,-4.294444445,18,24
2009-02-08,-6.772727273,16.72045455,-3.2708333329999997,22,24
2009-02-09,-5.558333333,9.90249999999999,-3.6558333329999995,20,24
2009-02-12,-5.601190476999999,6.179761900000003,-4.476190477,21,24
2009-02-17,-5.2678571430000005,4.633928570000009,-4.474404762,21,24
2009-02-18,-4.704545455,3.248863639999996,-4.13560606,22,24
2009-02-19,-6.777777777999999,13.1875,-4.108333333,18,24
2009-02-20,-6.229166666000001,11.366666660000007,-4.027777777,18,24
2009-02-23,-5.2026515149999994,4.885606060000001,-4.278787878,22,24
2009-02-24,-6.204166666999999,8.374166670000008,-4.594166667,20,24
2009-02-25,-3.8958333339999998,-2.1708333300000078,-4.084722222,18,24
2009-02-26,-4.645833334000001,2.0130952399999984,-4.23452381,21,24
2009-02-27,-4.759057970999999,6.287499999999994,-3.303985507,23,24
2009-02-28,-5.645833333000001,5.629166659999996,-4.066666667,24,24
2009-03-01,-6.048611111,10.398611110000004,-4.118055555,18,24
2009-03-02,-5.75,7.713690470000003,-4.250833333,21,24
2009-03-03,-5.745833333,8.166666669999998,-4.265,18,24
2009-03-04,-6.5625,16.079166670000006,-3.084583333,24,24
2009-03-05,-7.020289855000001,15.402173910000002,-3.957572463,23,24
